code,libelle,test,critere,valeur_mesuree,seuil,verdict,details
H1,Différenciation par classe,MAE moyen pipeline différencié vs MAE moyen du pire modèle isolé,ratio < 1,0.426,1.0,Validée,"{'mae_pipeline_differencie': 9.073, 'mae_pire_modele_isole': 21.312, 'gain_relatif_pct': 57.4}"
H2,Complémentarité statistique ↔ apprentissage,Le modèle affecté à chaque classe est le meilleur observé (échantillon ≥ 5),≥ 2/3 classes ont leur modèle attendu en tête,0.667,0.6666666666666666,Validée,"{'attendu': {'A': 'lstm', 'B': 'lightgbm', 'C': 'sarima'}, 'observé': {'A': 'lstm', 'B': 'lightgbm', 'C': 'croston_sba'}, 'min_sample': 5}"
H3,Détection précoce d'obsolescence,Rappel des produits avec ≥ 6 mois sans vente,rappel ≥ 80 %,1.0,0.8,Validée,"{'produits_evidents_total': 58, 'vrais_positifs': 58, 'faux_positifs': 15, 'faux_negatifs': 0, 'precision': 0.795, 'rappel': 1.0}"
H4,Optimisation supérieure à l'heuristique,Coût total simulé LP vs politique empirique,coût LP < coût empirique,0.703,1.0,Validée,"{'cout_lp_usd': 54143.71, 'cout_emp_usd': 76979.92, 'gain_usd': 22836.21, 'gain_pct': 29.67}"
H5,Impact financier mesurable,Bénéfice net additionnel = ΔCA + Δmarge_évitée + Δstock×coût_capital,bénéfice > 0,5392.082,0.0,Validée,"{'delta_ca_realise_usd': 4398.31, 'delta_marge_perdue_evitee_usd': 920.12, 'delta_stock_libere_usd': 613.77, 'coupon_capital_libere_usd': 73.65, 'benefice_net_usd': 5392.08}"
H6,Faisabilité PME (frugalité),"Temps total ≤ 5 min, sans GPU, dépendances ≤ 20",3 conditions / 3,3.0,3.0,Validée,"{'temps_total_sec': 213, 'limite_temps_sec': 300.0, 'n_dependances_python': 20, 'limite_dependances': 20, 'necessite_gpu': False}"
