produit_id,date,prevision,modele_utilise,intervalle_confiance_bas,intervalle_confiance_haut
P0023,2025-08-01,18.90621851106943,lstm,16.070285734409016,21.742151287729843
P0023,2025-09-01,14.189374763326347,lstm,12.060968548827395,16.317780977825297
P0023,2025-10-01,21.340793007559217,lstm,18.139674056425335,24.5419119586931
P0023,2025-11-01,9.245697982092258,lstm,7.858843284778419,10.632552679406096
P0023,2025-12-01,22.890637850902344,lstm,19.45704217326699,26.324233528537693
P0023,2026-01-01,11.063305546361901,lstm,9.403809714407616,12.722801378316186
P0024,2025-08-01,8.497841341894404,lstm,7.223165140610243,9.772517543178564
P0024,2025-09-01,2.669107418004218,lstm,2.268741305303585,3.06947353070485
P0024,2025-10-01,13.467297171942343,lstm,11.44720259615099,15.487391747733694
P0024,2025-11-01,31.690915338708734,lstm,26.937278037902423,36.444552639515045
P0024,2025-12-01,23.026958325383006,lstm,19.572914576575556,26.481002074190457
P0024,2026-01-01,22.333341522872637,lstm,18.983340294441742,25.68334275130353
P0105,2025-08-01,21.967942583878514,lstm,18.672751196296737,25.263133971460288
P0105,2025-09-01,20.414841972760975,lstm,17.352615676846828,23.47706826867512
P0105,2025-10-01,10.625816226441916,lstm,9.031943792475628,12.219688660408202
P0105,2025-11-01,21.67827553912239,lstm,18.42653420825403,24.930016869990745
P0105,2025-12-01,14.235902536454615,lstm,12.100517155986422,16.371287916922807
P0105,2026-01-01,18.62445805371731,lstm,15.830789345659712,21.418126761774904
P0021,2025-08-01,0.0,obsolete,0.0,0.0
P0021,2025-09-01,0.0,obsolete,0.0,0.0
P0021,2025-10-01,0.0,obsolete,0.0,0.0
P0021,2025-11-01,0.0,obsolete,0.0,0.0
P0021,2025-12-01,0.0,obsolete,0.0,0.0
P0021,2026-01-01,0.0,obsolete,0.0,0.0
P0110,2025-08-01,7.0255737547427435,lstm,5.971737691531332,8.079409817954154
P0110,2025-09-01,0.0,lstm,0.0,0.0
P0110,2025-10-01,9.192414215610793,lstm,7.813552083269173,10.571276347952411
P0110,2025-11-01,2.2763406020288897,lstm,1.9348895117245561,2.6177916923332227
P0110,2025-12-01,7.6226051641926516,lstm,6.4792143895637535,8.765995938821549
P0110,2026-01-01,0.0,lstm,0.0,0.0
P0025,2025-08-01,9.413365816525783,lstm,8.001360944046915,10.82537068900465
P0025,2025-09-01,0.0,lstm,0.0,0.0
P0025,2025-10-01,0.0,lstm,0.0,0.0
P0025,2025-11-01,0.0,lstm,0.0,0.0
P0025,2025-12-01,0.0,lstm,0.0,0.0
P0025,2026-01-01,0.0,lstm,0.0,0.0
P0104,2025-08-01,26.123074777819618,lstm,22.204613561146676,30.04153599449256
P0104,2025-09-01,17.78763146977895,lstm,15.119486749312108,20.455776190245793
P0104,2025-10-01,13.35462164766051,lstm,11.351428400511432,15.357814894809586
P0104,2025-11-01,15.432988233526036,lstm,13.11803999849713,17.74793646855494
P0104,2025-12-01,15.633470656353957,lstm,13.288450057900864,17.97849125480705
P0104,2026-01-01,25.862248035096602,lstm,21.98291082983211,29.74158524036109
P0080,2025-08-01,7.105298596299336,lstm,6.039503806854435,8.171093385744236
P0080,2025-09-01,9.810817677386904,lstm,8.339195025778869,11.282440328994939
P0080,2025-10-01,7.357440419374809,lstm,6.253824356468588,8.46105648228103
P0080,2025-11-01,9.246901771243083,lstm,7.85986650555662,10.633937036929545
P0080,2025-12-01,11.633311721088646,lstm,9.888314962925348,13.378308479251942
P0080,2026-01-01,8.200790009168548,lstm,6.9706715077932655,9.43090851054383
P0020,2025-08-01,0.0,obsolete,0.0,0.0
P0020,2025-09-01,0.0,obsolete,0.0,0.0
P0020,2025-10-01,0.0,obsolete,0.0,0.0
P0020,2025-11-01,0.0,obsolete,0.0,0.0
P0020,2025-12-01,0.0,obsolete,0.0,0.0
P0020,2026-01-01,0.0,obsolete,0.0,0.0
P0017,2025-08-01,0.0,obsolete,0.0,0.0
P0017,2025-09-01,0.0,obsolete,0.0,0.0
P0017,2025-10-01,0.0,obsolete,0.0,0.0
P0017,2025-11-01,0.0,obsolete,0.0,0.0
P0017,2025-12-01,0.0,obsolete,0.0,0.0
P0017,2026-01-01,0.0,obsolete,0.0,0.0
P0094,2025-08-01,11.33117875709373,lstm,9.63150194352967,13.030855570657788
P0094,2025-09-01,11.096133389933001,lstm,9.431713381443052,12.760553398422951
P0094,2025-10-01,6.846070245523048,lstm,5.819159708694591,7.872980782351505
P0094,2025-11-01,10.705454601243186,lstm,9.099636411056709,12.311272791429664
P0094,2025-12-01,0.0,lstm,0.0,0.0
P0094,2026-01-01,10.92685403011146,lstm,9.287825925594742,12.565882134628179
P0043,2025-08-01,12.412275398443535,lstm,10.550434088677004,14.274116708210064
P0043,2025-09-01,0.0,lstm,0.0,0.0
P0043,2025-10-01,0.7529196196153887,lstm,0.6399816766730804,0.8658575625576969
P0043,2025-11-01,7.852064979297493,lstm,6.674255232402869,9.029874726192116
P0043,2025-12-01,3.9360644255285546,lstm,3.3456547616992713,4.526474089357838
P0043,2026-01-01,6.2755704315258765,lstm,5.3342348667969945,7.2169059962547575
P0037,2025-08-01,13.313671229853304,lstm,11.316620545375308,15.310721914331298
P0037,2025-09-01,6.214728823883368,lstm,5.282519500300863,7.146938147465872
P0037,2025-10-01,3.046060624944338,lstm,2.589151531202687,3.5029697186859883
P0037,2025-11-01,2.9421694611142897,lstm,2.500844041947146,3.383494880281433
P0037,2025-12-01,0.18391736462387753,lstm,0.1563297599302959,0.21150496931745916
P0037,2026-01-01,4.274957769114675,lstm,3.6337141037474736,4.916201434481875
P0051,2025-08-01,0.0,lstm,0.0,0.0
P0051,2025-09-01,0.0,lstm,0.0,0.0
P0051,2025-10-01,0.0,lstm,0.0,0.0
P0051,2025-11-01,0.0,lstm,0.0,0.0
P0051,2025-12-01,0.0,lstm,0.0,0.0
P0051,2026-01-01,0.0,lstm,0.0,0.0
P0014,2025-08-01,39.238912226096595,lstm,33.353075392182106,45.124749060011084
P0014,2025-09-01,55.045867302497875,lstm,46.78898720712319,63.30274739787255
P0014,2025-10-01,46.477954998358776,lstm,39.506261748604956,53.44964824811259
P0014,2025-11-01,44.39819200113405,lstm,37.73846320096394,51.05792080130415
P0014,2025-12-01,51.9637583760931,lstm,44.16919461967913,59.758322132507054
P0014,2026-01-01,42.74251441174016,lstm,36.331137249979136,49.15389157350118
P0016,2025-08-01,34.61688397797649,lstm,29.42435138128002,39.809416574672966
P0016,2025-09-01,16.29155710566252,lstm,13.847823539813142,18.735290671511898
P0016,2025-10-01,37.819489269825425,lstm,32.14656587935161,43.49241266029924
