produit_id,mois_offset,quantite_commandee_emp,commande_passee_emp,stock_final_emp,rupture_emp,demande_prevue,cout_achat
P0023,1,56,1,0.0,6.530365273983193,32.53036527398319,250.0
P0023,2,56,1,27.87482063340681,0.0,28.12517936659319,250.0
P0023,3,0,0,50.0868361033331,0.0,33.787984530073714,250.0
P0023,4,0,0,38.30362419481091,0.0,11.783211908522189,250.0
P0023,5,56,1,1.6908928290602319,0.0,36.612731365750676,250.0
P0023,6,0,0,32.91026027912696,0.0,24.780632549933276,250.0
P0024,1,37,1,4.807282129610073,0.0,24.192717870389927,260.0
P0024,2,0,0,27.031784017721947,0.0,14.775498111888124,260.0
P0024,3,37,1,11.804048046630024,0.0,15.227735971091922,260.0
P0024,4,0,0,33.14935096054972,0.0,15.654697086080306,260.0
P0024,5,37,1,10.869539241143855,0.0,22.279811719405863,260.0
P0024,6,0,0,29.929949197036,0.0,17.939590044107856,260.0
P0105,1,37,1,2.0824688622951086,0.0,18.91753113770489,480.0
P0105,2,0,0,21.586293991083107,0.0,17.496174871212002,480.0
P0105,3,37,1,2.489584331866727,0.0,19.09670965921638,480.0
P0105,4,0,0,24.100359206943956,0.0,15.389225124922767,480.0
P0105,5,37,1,7.237107615679832,0.0,16.863251591264124,480.0
P0105,6,0,0,22.470918685162946,0.0,21.766188930516886,480.0
P0021,1,0,0,11.0,0.0,0.0,250.0
P0021,2,0,0,11.0,0.0,0.0,250.0
P0021,3,0,0,11.0,0.0,0.0,250.0
P0021,4,0,0,11.0,0.0,0.0,250.0
P0021,5,0,0,11.0,0.0,0.0,250.0
P0021,6,0,0,11.0,0.0,0.0,250.0
P0110,1,37,1,0.0,2.655049425474008,18.655049425474008,461.0
P0110,2,37,1,17.756257308625667,0.0,19.243742691374333,461.0
P0110,3,0,0,38.71011579456007,0.0,16.046141514065592,461.0
P0110,4,0,0,20.227429360196812,0.0,18.482686434363256,461.0
P0110,5,37,1,0.9866658561122676,0.0,19.240763504084544,461.0
P0110,6,0,0,20.396538925080268,0.0,17.590126931032,461.0
P0025,1,57,1,0.0,23.415356350386674,34.41535635038667,270.0
P0025,2,0,0,35.87612304242499,0.0,21.12387695757501,270.0
P0025,3,57,1,4.122446570920086,0.0,31.753676471504907,270.0
P0025,4,0,0,29.847859666208997,0.0,31.274586904711093,270.0
P0025,5,57,1,14.61300788088557,0.0,15.234851785323427,270.0
P0025,6,0,0,37.403980478064724,0.0,34.20902740282085,270.0
P0104,1,46,1,3.456519982974651,0.0,19.54348001702535,320.0
P0104,2,46,1,22.5477427345799,0.0,26.908777248394756,320.0
P0104,3,0,0,41.52126647457035,0.0,27.026476260009545,320.0
P0104,4,46,1,16.397470223758496,0.0,25.123796250811857,320.0
P0104,5,0,0,44.277793442230035,0.0,18.119676781528465,320.0
P0104,6,0,0,24.263845529783275,0.0,20.01394791244676,320.0
P0080,1,9,1,0.6826510033509168,0.0,3.3173489966490832,1105.0
P0080,2,0,0,4.563501592936132,0.0,5.119149410414784,1105.0
P0080,3,9,1,1.3555814184019503,0.0,3.2079201745341814,1105.0
P0080,4,0,0,5.030660332721367,0.0,5.324921085680583,1105.0
P0080,5,9,1,1.5666815708415225,0.0,3.4639787618798445,1105.0
P0080,6,0,0,6.008863182143951,0.0,4.557818388697571,1105.0
P0020,1,0,0,5.0,0.0,0.0,240.0
P0020,2,0,0,5.0,0.0,0.0,240.0
P0020,3,0,0,5.0,0.0,0.0,240.0
P0020,4,0,0,5.0,0.0,0.0,240.0
P0020,5,0,0,5.0,0.0,0.0,240.0
P0020,6,0,0,5.0,0.0,0.0,240.0
P0017,1,0,0,0.0,0.0,0.0,220.0
P0017,2,0,0,0.0,0.0,0.0,220.0
P0017,3,0,0,0.0,0.0,0.0,220.0
P0017,4,0,0,0.0,0.0,0.0,220.0
P0017,5,0,0,0.0,0.0,0.0,220.0
P0017,6,0,0,0.0,0.0,0.0,220.0
P0094,1,43,1,0.0,6.908578131637142,16.908578131637142,245.0
P0094,2,43,1,0.0,20.16128804327467,20.16128804327467,245.0
P0094,3,43,1,19.762967684456072,0.0,23.237032315543928,245.0
P0094,4,0,0,40.85500727662787,0.0,21.907960407828195,245.0
P0094,5,0,0,61.04348139639393,0.0,22.81152588023394,245.0
P0094,6,0,0,39.93216535421699,0.0,21.111316042176938,245.0
P0043,1,17,1,0.0,4.3394901546913065,10.339490154691307,544.0
P0043,2,0,0,12.529047073424517,0.0,4.4709529265754835,544.0
P0043,3,17,1,3.0735287534018756,0.0,9.455518320022641,544.0
P0043,4,0,0,10.750702906610002,0.0,9.322825846791872,544.0
P0043,5,17,1,2.6884829955112757,0.0,8.062219911098726,544.0
P0043,6,0,0,11.477176978412952,0.0,8.211306017098323,544.0
P0037,1,23,1,6.167262595251131,0.0,5.832737404748869,600.0
P0037,2,0,0,23.24681062407247,0.0,5.92045197117866,600.0
P0037,3,23,1,7.638383169757461,0.0,15.60842745431501,600.0
P0037,4,0,0,13.868271742805184,0.0,16.770111426952276,600.0
P0037,5,23,1,1.2754230321877191,0.0,12.592848710617465,600.0
P0037,6,0,0,14.21672389588076,0.0,10.058699136306958,600.0
P0051,1,9,1,0.0,4.724567416285264,4.724567416285264,720.0
P0051,2,0,0,5.298329145296239,0.0,3.701670854703761,720.0
P0051,3,9,1,0.0,1.0302563963958855,6.328585541692124,720.0
P0051,4,0,0,5.8183849588416034,0.0,3.181615041158396,720.0
P0051,5,9,1,2.381684632628268,0.0,3.4367003262133355,720.0
P0051,6,0,0,7.3022888869349565,0.0,4.079395745693311,720.0
P0014,1,0,0,20.852194463696005,0.0,3.147805536303996,180.0
P0014,2,25,1,4.165925591761479,0.0,16.686268871934526,180.0
P0014,3,0,0,14.707747518433933,0.0,14.458178073327545,180.0
P0014,4,25,1,7.925629843882258,0.0,6.782117674551675,180.0
P0014,5,0,0,16.13035102892516,0.0,16.795278814957097,180.0
P0014,6,25,1,1.8546293294943101,0.0,14.275721699430848,180.0
P0016,1,64,1,5.1519041087911965,0.0,31.848095891208803,220.0
P0016,2,0,0,37.3038082175824,0.0,31.848095891208803,220.0
P0016,3,64,1,5.455712326373597,0.0,31.848095891208803,220.0
P0016,4,0,0,37.6076164351648,0.0,31.848095891208803,220.0
P0016,5,64,1,5.759520543955997,0.0,31.848095891208803,220.0
P0016,6,0,0,37.9114246527472,0.0,31.848095891208803,220.0
P0073,1,0,0,0.0,0.0,0.0,980.0
P0073,2,0,0,0.0,0.0,0.0,980.0
P0073,3,0,0,0.0,0.0,0.0,980.0
P0073,4,0,0,0.0,0.0,0.0,980.0
P0073,5,0,0,0.0,0.0,0.0,980.0
P0073,6,0,0,0.0,0.0,0.0,980.0
P0107,1,45,1,0.0,3.324179779456891,16.32417977945689,215.0
P0107,2,45,1,0.0,24.77535943748488,24.77535943748488,215.0
P0107,3,45,1,17.70965759584577,0.0,27.29034240415423,215.0
P0107,4,0,0,38.55754153622624,0.0,24.15211605961953,215.0
P0107,5,0,0,64.11634319224774,0.0,19.441198343978495,215.0
P0107,6,0,0,42.52264876852084,0.0,21.593694423726905,215.0
P0192,1,0,0,9.36218433186838,0.0,10.63781566813162,400.0
P0192,2,18,1,0.0,0.10451385138739511,9.466698183255776,400.0
P0192,3,0,0,10.66667926285955,0.0,7.33332073714045,400.0
